maamar_id,date_occasion_parsha,title,continuation,hanacha_type,url,google_drive_count,google_drive_1,google_drive_2,google_drive_3,google_drive_4,google_drive_5,google_drive_6,google_drive_7,google_drive_8,google_drive_9,google_drive_10
374,,,,,https://www.mafteiach.app/maamorim/374,5,https://drive.google.com/open?id=1p9_t4eyJ14MrUTtJa-RxBtzXkNBXCIGa\,https://drive.google.com/open?id=1NshxNlTEJ92pLBBndrfy_NdzufipZD51\,https://drive.google.com/open?id=1P9A3dyiLwu2YaDf7kkFwaEi1av5Zaici\,https://drive.google.com/file/d/0B_UwzYOTIwDTRmEwUXBFSE05elU/view?usp=sharing&amp;resourcekey=0-zfXjS2dFAvw-h6rICWwrZA\,https://drive.google.com/file/d/0B_UwzYOTIwDTajV6SE5YOURWVm8/view?usp=sharing&amp;resourcekey=0-N-9P2YqICNvJVnOApuANVA\,,,,,
375,,,,,https://www.mafteiach.app/maamorim/375,1,https://drive.google.com/file/d/1zEtUGuEDSb1GLFg33SzkIJqQRFWwNpRf/view?usp=drivesdk\,,,,,,,,,
376,,,,,https://www.mafteiach.app/maamorim/376,2,https://drive.google.com/file/d/1FpHhODqpLgOKNcY5HVFkfnUnZ6iNVOrH/view?usp=drivesdk\,https://drive.google.com/file/d/1Ihss-f7vFY8JzJFhocn3P03aR7yLTzhD/view?usp=sharing\,,,,,,,,
377,,,,,https://www.mafteiach.app/maamorim/377,1,https://drive.google.com/open?id=1ObE-GAkOoOdc0ec1jQzxh78ps3khZGkG\,,,,,,,,,
378,,,,,https://www.mafteiach.app/maamorim/378,1,https://drive.google.com/file/d/1hZQlQm52G9SeUlMRJvVU0lJVFCEo8gmL/view?usp=drivesdk\,,,,,,,,,
379,,,,,https://www.mafteiach.app/maamorim/379,1,https://drive.google.com/file/d/1ultiPBAUMO4jCQq50tMYoZRVacBmcdNf/view?usp=drivesdk\,,,,,,,,,
380,,,,,https://www.mafteiach.app/maamorim/380,3,https://drive.google.com/file/d/1VEGDo7tR0_TpUBrlk3r3Z99J2yBRFPPk/view?usp=drivesdk\,https://drive.google.com/file/d/16Xuu8uUpViOHyZbHplep5dwQjJLBndwa/view?usp=drivesdk\,https://drive.google.com/file/d/1goyspi3KtXaf7u4LWLn59NiQR1K9CpF8/view?usp=sharing\,,,,,,,
381,,,,,https://www.mafteiach.app/maamorim/381,1,https://drive.google.com/file/d/1uYKNr_6sKB1lFGQxPKSDfZH_X-HgllV9/view?usp=drivesdk\,,,,,,,,,
382,,,,,https://www.mafteiach.app/maamorim/382,2,https://drive.google.com/open?id=13SioEUlNe9TlA2hbOjGB9biB1nFcqyQo\,https://drive.google.com/file/d/1Sx8tb5e_eGq9JEixkizqKRTQoJpZ_Udx/view?usp=drivesdk\,,,,,,,,
383,,,,,https://www.mafteiach.app/maamorim/383,1,https://drive.google.com/file/d/1J2i6zG2WM9ci1DwZFetkxG-TDz4jcIAY/view?usp=drivesdk\,,,,,,,,,
384,,,,,https://www.mafteiach.app/maamorim/384,0,,,,,,,,,,
385,,,,,https://www.mafteiach.app/maamorim/385,1,https://drive.google.com/file/d/1DdCuCsrSs-hJVKtPbyXdlC9dRisftb0n/view?usp=drivesdk\,,,,,,,,,
386,,,,,https://www.mafteiach.app/maamorim/386,3,https://drive.google.com/open?id=18ZKjYS1wscI8v-PMX-4bUhI1Q623QlXj\,https://drive.google.com/open?id=1FhePE6mJ5BNPeEfIJ6B8I0ov9kOdkVL1\,https://drive.google.com/file/d/1c_PLFK57gNU9JKwYEJY8Z-k8maimmmSn/view?usp=drivesdk\,,,,,,,
387,,,,,https://www.mafteiach.app/maamorim/387,2,https://drive.google.com/open?id=1_ve8fLdz7zlxCmHOqdot81it820G6Kph\,https://drive.google.com/file/d/1jbnfi77CSqu8iAObNlzXSiuwicikkelN/view?usp=drivesdk\,,,,,,,,
388,,,,,https://www.mafteiach.app/maamorim/388,2,https://drive.google.com/open?id=105GFYuF-6_dNBNdjCfNeT2sgsvxTIhCx\,https://drive.google.com/file/d/1susUDfIBoAGwwIcHFM3jLEAGuYFUQrY7/view?usp=drivesdk\,,,,,,,,
389,,,,,https://www.mafteiach.app/maamorim/389,3,https://drive.google.com/open?id=1AM-139ixliW-8DYbllalf2RSxwcRYXC3\,https://drive.google.com/open?id=1lnd6ciAZyZ_upAHLjP73MnFY-W8wohF9\,https://drive.google.com/file/d/1R5ZSkP7yvUg6k7HZwK6_-v9_OQZQOkhF/view?usp=drivesdk\,,,,,,,
390,,,,,https://www.mafteiach.app/maamorim/390,2,https://drive.google.com/open?id=1_x6ZbcIAQCSNLqpiqXzy6NtBGiU6GbPj\,https://drive.google.com/file/d/1ITmG0vV7yJfkuo_3tMHQHxEzMq3kLrFz/view?usp=drivesdk\,,,,,,,,
391,,,,,https://www.mafteiach.app/maamorim/391,1,https://drive.google.com/file/d/1G0zy391t8aU3FodQe1JGtmaNgyN9gNiA/view?usp=drivesdk\,,,,,,,,,
392,,,,,https://www.mafteiach.app/maamorim/392,0,,,,,,,,,,
393,,,,,https://www.mafteiach.app/maamorim/393,2,https://drive.google.com/open?id=15ljTnlpZwvIicDECSvDuMZkRTbhIhMKd\,https://drive.google.com/file/d/1lg2OiQZP-sJ7nAhtzIT884ga6Y5R8_Xd/view?usp=drivesdk\,,,,,,,,
